Aqueous UO2++ in Granite,Aqueous UO2++ in Bentonite,Aqueous UO2++ in Source,Adsorbed UO2++ in Bentonite,Mineralized UO2++ in Bentonite,Mineralized UO2++ in Source,m1_a1,m1_a2,m1_a3,m1_a4,m1_a5,m2_a1,m2_a2,m2_a3,m2_a4,m2_a5,m2_s1,m2_s2,m2_s3,m2_s4,m2_s5,m2_s6,m2_w1,m2_w2,m2_w3,Calcium,Carbonate,Calcium_frac,Carbonate_frac,Calcium_conc,Carbonate_conc,Calcium_frac_conc,Carbonate_frac_conc,Effluxed UO2++
9.949931703761489e-06,0.00023698873519197646,2.207777098177047e-05,0.03009809213553976,0.0,241.46971173544125,8.355513669846371e-09,1.4024220145691652e-09,3.190010611021751e-11,1.1318224588303052e-10,4.3370359011177984e-11,1.8986259090123388e-07,4.0462967779125954e-08,1.1647279303790762e-09,2.8708504701389768e-09,1.4969178703461847e-09,0.0008726383178802035,0.00020992557055112161,2.5310730659632285e-05,1.5295101547741724e-06,0.0036659272927805284,0.0015400783364096346,4.424865060113556e-05,0.00033661318425761387,0.023401819491531015,0.08361971988068573,0.01197729998876709,0.008472699735496022,0.0008385748001436863,0.015093065161408238,0.0021618604970949037,0.02108389907490416,0.002086752393563057,5.092820837e-06
1.1847185228371297e-05,0.000266220294380556,2.2380125194372385e-05,0.03320557176314726,0.0,241.46657068079276,9.957533270473987e-09,1.6624604558706414e-09,3.7594982280719157e-11,1.3396518046512427e-10,5.14121326846078e-11,2.1367172549256416e-07,4.515025250421529e-08,1.2884311546202725e-09,3.206030536571872e-09,1.6535993543573802e-09,0.0009629339626893557,0.00023171081837845644,2.7945067499974676e-05,1.6891691065085887e-06,0.004044330057175353,0.0016986611990014158,4.882824467675963e-05,0.0003715531571992449,0.025817918940211113,0.08427419764481889,0.011984452873045209,0.008509350042681631,0.0008384540191629621,0.015211228781676939,0.0021631562158969274,0.021175683499705004,0.002086509175177289,7.2366855540000004e-06
1.3832822102629528e-05,0.00029643836247863207,2.2679690289857804e-05,0.03632737854215505,0.0,241.46341375388272,1.1636971371645302e-08,1.9322763176660388e-09,4.343786560789473e-11,1.5545372058928512e-10,5.975627626842152e-11,2.3835017457873543e-07,4.994363997976862e-08,1.4130962771996609e-09,3.549117813095923e-09,1.8112498376941365e-09,0.0010537644352348369,0.0002536329254415839,3.0596902272060224e-05,1.849946187563007e-06,0.004424463050398238,0.0018577543647535868,5.3435153289416024e-05,0.0004067140739127371,0.028245166448258537,0.08492819030915778,0.011990755792620862,0.008545994877136871,0.0008383088829439997,0.015329303082681501,0.0021642982037694955,0.02126741855042857,0.0020862013310830973,9.853532647e-06
1.589972780305261e-05,0.00032763533508572686,2.2976643612037324e-05,0.039462376766856225,0.0,241.46024207920186,1.3387876499833713e-08,2.210841942464198e-09,4.9405918370048666e-11,1.7756955433493523e-10,6.837100911941022e-11,2.6389365442448795e-07,5.484022353584193e-08,1.5386319691072304e-09,3.89989373310222e-09,1.96978524653244e-09,0.0011451146886583578,0.0002756875295569041,3.3265618547879286e-05,2.011798621147475e-06,0.004806188219840548,0.002017268672657325,5.806861502441146e-05,0.0004420889524313878,0.030682681335178194,0.08558159394760638,0.011996239847398048,0.008582261372569197,0.0008381420776271904,0.015447269341582215,0.002165292085146559,0.021358177627259785,0.002085835724842667,1.2969126788000001e-05
1.804238279741564e-05,0.00035980207171946305,2.3271089655514764e-05,0.04260943110805947,0.0,241.45705678338055,1.520568337634163e-08,2.4973183368198076e-09,5.547984610375807e-11,2.0024462295864227e-10,7.723038509146079e-11,2.9029648306230663e-07,5.983696814532473e-08,1.664947684016422e-09,4.2581316895540735e-09,2.1291220188549307e-09,0.0012369688968920402,0.0002978701028530753,3.5950582489376414e-05,2.1746827299594055e-06,0.005189367565322048,0.0021771165322920405,6.272782845027686e-05,0.00047767054112932275,0.03312958294685947,0.08623430082579986,0.012000934772679432,0.00861828781761104,0.0008379541098787863,0.015565108150960192,0.002166143238370039,0.02144830427413767,0.0020854136107775487,1.6606732355e-05
2.025631480818411e-05,0.0003929279453231152,2.3563084174537316e-05,0.04576740828175817,0.0,241.45385899335912,1.7086657131052996e-08,2.7910522422120384e-09,6.164531337334165e-11,2.2343083537434756e-10,8.631420195185906e-11,3.175516188401976e-07,6.493071969445722e-08,1.791953733298629e-09,4.6235978867365276e-09,2.289177178071604e-09,0.0013293105408265908,0.0003201759718337941,3.865114520547675e-05,2.338554076019144e-06,0.005573863337154912,0.0023372119495724164,6.741195654823005e-05,0.0005134513513520806,0.035584991954645914,0.08688620095582553,0.012004868906026483,0.008653907786744276,0.0008377467359821911,0.015682799702383305,0.0021668567900937743,0.021537385077310425,0.0020849394856905846,2.0787747507e-05
2.2537744732761704e-05,0.00042700097879135344,2.3852653859381567e-05,0.0489351796279817,0.0,241.4506498335926,1.9027642557940975e-08,3.091490780248347e-09,6.789037860178786e-11,2.470875033379752e-10,9.560536175611287e-11,3.456507746114773e-07,7.011822541370275e-08,1.9195615706965528e-09,4.996052291104885e-09,2.4498685604114026e-09,0.0014221224539713575,0.0003426003293397214,4.136664433083557e-05,2.5033675654785516e-06,0.005959538344857846,0.0024974707141151293,7.21201290797874e-05,0.000549423676999483,0.038048032356850295,0.08753718532110538,0.012008069549905891,0.008689142810573668,0.0008375207902975232,0.01580032436368914,0.0021674376800473517,0.021625473927259747,0.0020844155066800318,2.5532121590000003e-05
2.4883354133672675e-05,0.0004620079527642234,2.413980724165672e-05,0.052111623975045304,0.0,241.4474304230152,2.1025849705957963e-08,3.3981640918205054e-09,7.420536290108369e-11,2.711813297511046e-10,1.0508933395828279e-10,3.745845090696709e-07,7.539614937372422e-08,2.0476839604334604e-09,5.375249081793722e-09,2.6111149780782877e-09,0.0015153869194557057,0.00036513825822556467,4.409640693585027e-05,2.6690776286843244e-06,0.00634625630201929,0.00265781052349537,7.685144754984004e-05,0.0005855796328348207,0.04051783370684344,0.08818714701498268,0.012010563015178433,0.008723939256943954,0.0008372773656300491,0.015917662880368506,0.002167890668314191,0.02171243801239124,0.0020838445070500184,3.085862819e-05
2.729022893029603e-05,0.0004979347468371738,2.442455030636086e-05,0.0552956303957195,0.0,241.44420187181768,2.3078706512049797e-08,3.7107557814194646e-09,8.058605311417192e-11,2.9570153707864505e-10,1.1475633392385848e-10,4.0434251930754354e-07,8.076111497319945e-08,2.1762355351880008e-09,5.760939675637188e-09,2.7728366229421375e-09,0.0016090856736672159,0.00038778473547162735,4.683975043429626e-05,2.835638301260281e-06,0.006733882157072052,0.0028181512584373554,8.160498542749416e-05,0.0006219111613609228,0.04299353324742364,0.08883599135444112,0.01201237520459025,0.008757818131011764,0.0008370197197699257,0.01603479820200935,0.002168220440788677,0.02179708756600396,0.0020832348712166533,3.678504608e-05
2.975574467329564e-05,0.000534766422461555,2.4706891985707556e-05,0.0584861024697651,0.0,241.44096527708044,2.5184126967574917e-08,4.028801498463208e-09,8.702087004722219e-11,3.2060103502021445e-10,1.2459200146022397e-10,4.349137047682847e-07,8.620972456747148e-08,2.3051333925630343e-09,6.152874144738027e-09,2.934955521883516e-09,0.0017031998575592873,0.0004105346252344759,4.959598233932407e-05,3.003003246450536e-06,0.007122282607452441,0.0029784154978870765,8.637978570726068e-05,0.0006584100219155859,0.04547427921332647,0.08948362989275807,0.012013532365037993,0.008791245306846173,0.0008367466550556986,0.016151714401743462,0.0021684317449877947,0.021880580794276294,0.0020825835420641625,4.3328283839999995e-05
3.227729198071624e-05,0.0005724867996829589,2.498682327454764e-05,0.061681960537594754,0.0,241.43772172114615,2.7340053300767608e-08,4.351826866480175e-09,9.349783302960345e-11,3.4583032060998357e-10,1.3458166632032474e-10,4.66285803549047e-07,9.173850542443013e-08,2.434296019930743e-09,6.550797204597172e-09,3.0973949215149997e-09,0.0017977104785234445,0.00043338278126333116,5.236441154788069e-05,3.1711263717773446e-06,0.007511326378012894,0.003138527936683221,9.11748843572934e-05,0.0006950679551153633,0.04795923262471997,0.09012996438919835,0.012014059137985242,0.008824701282098925,0.0008364566614149018,0.01626839378386072,0.0021685290383045785,0.021964112280986395,0.0020818866772027663,5.050446922e-05
3.4852302153525424e-05,0.0006110787545654598,2.5264329823527594e-05,0.06488214212235315,0.0,241.43447227078997,2.9544280085620777e-08,4.679505526812177e-09,1.0001098900755607e-10,3.7136935079520954e-10,1.4471523575637976e-10,4.984456514438756e-07,9.734394310400964e-08,2.5636435722825375e-09,6.954450637296582e-09,3.260079471343809e-09,0.001892598426397523,0.0004563240502617083,5.514434869663093e-05,3.3399618481631698e-06,0.00790088427080036,0.0032984154003125004,9.59893111514817e-05,0.0007318766884070675,0.05044756761862282,0.09077489832679853,0.01201397872308315,0.008857928888566378,0.0008361514443638999,0.016384818963294082,0.0021685165176160972,0.02204704350074972,0.0020811487085768635,5.8329016350000005e-05
3.747826603975745e-05,0.0006505244050887051,2.5539398849955546e-05,0.0680856034344148,0.0,241.43121797548565,3.1794579582579635e-08,5.0115766149245794e-09,1.065573960249813e-10,3.972093334499223e-10,1.5498464244694476e-10,5.313793392013077e-07,1.0302250748961032e-07,2.6930983337177103e-09,7.363575146583964e-09,3.422935538415775e-09,0.0019878444008001365,0.0004793532569936031,5.793510469298642e-05,3.5094640418261e-06,0.008290829345628623,0.003458007120105133,0.00010082208600179567,0.0007688279123227097,0.05293847261414379,0.09141833973959586,0.012013313551513144,0.00889070375113343,0.0008358327332950175,0.016500973375513435,0.0021683982407673667,0.022128817361817796,0.002080374109614939,6.681665938e-05
